title,url,has_fee
Essential Collaboration Skills (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308069,TRUE
Welcome to the Tidyverse: Reproducible Data Science with R (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308027,TRUE
Reproducible Computing (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308032,TRUE
"Big Data, Data Science and Deep Learning for Statistician (ADDED FEE)",http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308031,TRUE
"Bayesian Thinking:  Fundamentals, Computation, and Multilevel Modeling (ADDED FEE)",http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308030,TRUE
Advanced Topics in Propensity Score Methods (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308029,TRUE
Bootstrap Learning Python with R (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308028,TRUE
Preparing Statisticians and Data Scientists for Leadership: How to See the Big Picture and Have More Influence (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308071,TRUE
Statistical and Computational Methods for Microbiome and Metagenomics Data Analysis (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308033,TRUE
Essential Collaboration Skills (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308070,TRUE
Welcome to the Tidyverse: Reproducible Data Science with R (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308038,TRUE
Practical Considerations for Bayesian and Frequentist Adaptive Clinical Trials (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308037,TRUE
Regression Modeling Strategies (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308035,TRUE
Teaching Data Science (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308036,TRUE
Statistical Network Analysis and Applications in Biology (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308034,TRUE
JSM Presentation Skills Workshop (FREE - NO REGISTRATION REQUIRED),http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308073,FALSE
Considerations in Bayesian Framework Implementation and Impact on Small-population Clinical Development,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=307415,FALSE
Functional Data Analysis for Wearables: Methods and Applications (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308039,TRUE
Preparing Statisticians and Data Scientists for Leadership: How to See the Big Picture and Have More Influence (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308072,TRUE
CSI at the JSM: Forensic Statistics and the Value of Scientific Evidence in Court,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304599,FALSE
A full-rank spectral algorithm for graph matching,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300186,FALSE
